"","logLikelihood","chisq","df","pval"
"sex:Giftsize","-119.769606872713","7.92161075614197","1","0.00488477638899987"
"sex:bean1","-123.686121627463","0.0885812466418372","1","0.765988614452011"
"sex:mass1","-123.549594028546","0.361636444476659","1","0.547598797867207"
"Giftsize:bean1","-123.68382643308","0.0931716354070886","1","0.760183147725942"
"Giftsize:mass1","-120.562639086385","6.33554632879705","1","0.0118341658299986"
"bean1:mass1","-123.426028409763","0.608767682042924","1","0.435252177240331"
"","","","",""
"","","","",""
"","","","",""
"","logLikelihood","chisq","df","pval"
"sex:bean1","-119.428282698976","0.682648347473133","1","0.408676264272987"
"sex:mass1","-119.555489875816","0.428233993794606","1","0.512856775267779"
"Giftsize:bean1","-119.658879291543","0.221455162339879","1","0.637933387560425"
"Giftsize:mass1","-119.459120722265","0.620972300895659","1","0.430686202246254"
"bean1:mass1","-118.298442610496","2.94232852443494","1","0.0862862627212606"
